Symbol,Name
AA,ALCOA INC
AAPL,Apple Inc.
ABT,ABBOTT LABORATORIES
AEP,AMER ELECTRIC POW CO
ALL,ALLSTATE CP
AMGN,Amgen Inc.
AMZN,Amazon.com
AVP,AVON PRODUCTS INC
AXP,AMER EXPRESS INC
BA,BOEING CO
BAC,BK OF AMERICA CP
BAX,BAXTER INTL INC
BHI,Baker Hughes
BK,Bank of New York
BMY,Bristol-Myers Squibb
BNI,BURLINGTN N SANTE FE
C,CITIGROUP INC
CAT,CATERPILLAR INC
CL,COLGATE PALMOLIVE
CMCSA,Comcast Corporation
COF,CAPITAL ONE FINANCIA
COP,CONOCOPHILLIPS
COST,Costco
COV,COVIDIEN LTD
CPB,CAMPBELL SOUP CO
CSCO,"Cisco Systems, Inc."
CVS,CVS CAREMARK CP
CVX,CHEVRON CORP
DD,DU PONT E I DE NEM
DELL,Dell Inc.
DIS,WALT DISNEY-DISNEY C
DOW,DOW CHEMICAL
DVN,Devon Energy
EMC,E M C CP
ETR,ENTERGY CP
EXC,EXELON CORPORATION
F,Ford Motor
FDX,FedEx
GD,General Dynamics
GE,GEN ELECTRIC CO
GILD,Gilead
GOOG,Google Inc.
GS,Goldman Sachs
HAL,Halliburton
HD,Home Depot
HNZ,H._J._Heinz_Company
HON,Honeywell
HPQ,HEWLETT PACKARD CO
IBM,INTL BUSINESS MACH
INTC,Intel Corporation
JNJ,JOHNSON AND JOHNS DC
JPM,JP MORGAN CHASE CO
KFT,KRAFT FOODS INC
KO,COCA COLA CO THE
LMT,Lockheed-Martin
LOW,Lowe's
MA,MASTERCARD INC
MCD,MCDONALDS CP
MDT,MEDTRONIC INC
MMM,3M COMPANY
MO,ALTRIA GROUP INC
MON,Monsanto Company
MRK,MERCK CO INC
MS,MORGAN STANLEY
MSFT,Microsoft Corporation
NKE,Nike
NOV,NATL OILWELL VARCO
NSC,NORFOLK SO CP
NYX,NYSE EURONEXT
ORCL,Oracle Corporation
OXY,OCCIDENTAL PET
PEP,PEPSICO INC
PFE,PFIZER INC
PG,PROCTER GAMBLE CO
PM,PHILIP MORRIS INTL
QCOM,QUALCOMM Incorporated
RF,Regions Financial
RTN,RAYTHEON CO (NEW)
S,SPRINT NXTEL CP
SGP,Schering-Plough
SLB,Schlumberger
SLE,Sara Lee Corporation
SO,Southern Company
T,AT&T INC.
TGT,TARGET CP
TWX,TIME WARNER INC
TXN,TEXAS INSTRUMENTS
UNH,UNITEDHEALTH GROUP
UPS,UNITED PARCEL SVC
USB,US BANCORP
UTX,UNITED TECH
VZ,VERIZON COMMUN
WAG,Walgreen's
WFC,Wells Fargo
WMB,Williams Companies
WMT,Wal-Mart
WY,WEYERHAEUSER CO
WYE,WYETH
XOM,EXXON MOBIL CP
XRX,XEROX CP
